Dia;Taxa_Compra_Manhã;Taxa_Venda_Manhã;PU_Compra_Manhã;PU_Venda_Manhã;PU_Base_Manhã
04/01/2016;7,42%;7,50%;697.94;687.99;687.56
05/01/2016;7,40%;7,48%;700.87;690.88;690.46
06/01/2016;7,34%;7,42%;708.9;698.79;698.36
07/01/2016;7,31%;7,39%;713.16;702.99;702.56
08/01/2016;7,41%;7,49%;701;691.01;690.18
11/01/2016;7,47%;7,55%;693.91;684.03;683.62
12/01/2016;7,44%;7,52%;698.06;688.13;687.72
13/01/2016;7,42%;7,50%;700.98;691.01;690.6
14/01/2016;7,47%;7,55%;695.14;685.25;684.85
15/01/2016;7,47%;7,55%;695.98;686.08;685.25
18/01/2016;7,50%;7,58%;692.66;682.81;682.41
19/01/2016;7,49%;7,57%;694.31;684.44;684.04
20/01/2016;7,63%;7,71%;677.54;667.93;667.53
21/01/2016;7,74%;7,82%;664.76;655.33;654.94
22/01/2016;7,80%;7,88%;658.87;649.54;648.36
25/01/2016;7,78%;7,86%;661.53;652.16;651.74
26/01/2016;7,78%;7,86%;661.95;652.58;652.16
27/01/2016;7,71%;7,79%;670.7;661.2;660.78
28/01/2016;7,72%;7,80%;669.94;660.45;660.02
29/01/2016;7,62%;7,70%;682.91;673.23;672.33
01/02/2016;7,60%;7,68%;685.79;676.07;675.63
02/02/2016;7,49%;7,57%;699.84;689.91;689.47
03/02/2016;7,62%;7,70%;684.22;674.52;674.09
04/02/2016;7,61%;7,69%;685.88;676.16;675.73
05/02/2016;7,61%;7,69%;688.35;678.6;677.02
10/02/2016;7,57%;7,65%;693.76;683.93;683.46
11/02/2016;7,56%;7,64%;695.48;685.63;685.16
12/02/2016;7,57%;7,65%;695.29;685.45;684.41
15/02/2016;7,48%;7,56%;706.97;696.96;696.53
16/02/2016;7,40%;7,48%;717.57;707.4;706.97
17/02/2016;7,47%;7,55%;709.09;699.05;698.62
18/02/2016;7,44%;7,52%;713.33;703.22;702.8
19/02/2016;7,56%;7,64%;699.1;689.21;688.35
22/02/2016;7,51%;7,59%;705.78;695.8;695.38
23/02/2016;7,44%;7,52%;715.08;704.96;704.53
24/02/2016;7,45%;7,53%;714.36;704.25;703.81
25/02/2016;7,41%;7,49%;719.92;709.73;709.28
26/02/2016;7,43%;7,51%;718.28;708.12;707.2
29/02/2016;7,46%;7,54%;714.9;704.79;704.35
01/03/2016;7,45%;7,53%;716.62;706.49;706.05
02/03/2016;7,49%;7,57%;711.98;701.92;701.48
03/03/2016;7,44%;7,52%;718.79;708.63;708.19
04/03/2016;6,69%;6,77%;822.86;811.16;810.13
07/03/2016;6,88%;6,96%;795.82;784.52;784.04
08/03/2016;6,98%;7,06%;782.19;771.1;770.63
09/03/2016;6,73%;6,81%;817.91;806.28;805.83
10/03/2016;6,61%;6,69%;836.15;824.26;823.79
11/03/2016;6,66%;6,74%;829.68;817.88;816.91
14/03/2016;6,57%;6,65%;843.63;831.63;831.16
15/03/2016;6,81%;6,89%;808.51;797.03;796.69
16/03/2016;7,02%;7,10%;779.09;768.06;767.72
17/03/2016;6,72%;6,80%;822.33;810.65;810.3
18/03/2016;6,57%;6,65%;845.34;833.32;832.69
21/03/2016;6,49%;6,57%;857.89;845.69;845.34
22/03/2016;6,44%;6,52%;865.97;853.65;853.29
23/03/2016;6,29%;6,37%;889.94;877.27;876.9
24/03/2016;6,48%;6,56%;860.76;848.52;847.79
28/03/2016;6,44%;6,52%;867.29;854.96;854.62
29/03/2016;6,41%;6,49%;872.31;859.91;859.56
30/03/2016;6,35%;6,43%;882.08;869.54;869.19
31/03/2016;6,39%;6,47%;876.14;863.68;863.33
01/04/2016;6,43%;6,51%;870.49;858.13;857.52
04/04/2016;6,39%;6,47%;877.1;864.63;864.29
05/04/2016;6,48%;6,56%;863.43;851.18;850.83
06/04/2016;6,49%;6,57%;862.24;850;849.66
07/04/2016;6,52%;6,60%;857.97;845.8;845.46
08/04/2016;6,47%;6,55%;865.98;853.69;853.12
11/04/2016;6,39%;6,47%;878.79;866.32;865.98
12/04/2016;6,37%;6,45%;882.27;869.75;869.42
13/04/2016;6,35%;6,43%;885.77;873.2;872.86
14/04/2016;6,21%;6,29%;908.58;895.67;895.33
15/04/2016;6,22%;6,30%;907.7;894.8;894.07
18/04/2016;6,09%;6,17%;929.47;916.25;915.86
19/04/2016;6,14%;6,22%;921.58;908.48;908.09
20/04/2016;6,27%;6,35%;900.96;888.18;887.62
22/04/2016;6,28%;6,36%;899.97;887.21;886.51
25/04/2016;6,33%;6,41%;892.35;879.7;879.32
26/04/2016;6,29%;6,37%;899.12;886.38;886
27/04/2016;6,28%;6,36%;901.11;888.34;887.96
28/04/2016;6,18%;6,26%;917.73;904.71;904.33
29/04/2016;6,18%;6,26%;918.45;905.42;904.71
02/05/2016;6,08%;6,16%;935.4;922.12;921.73
03/05/2016;6,13%;6,21%;927.46;914.31;913.92
04/05/2016;6,09%;6,17%;934.5;921.24;920.86
05/05/2016;6,08%;6,16%;936.56;923.27;922.89
06/05/2016;5,97%;6,05%;956.42;942.84;942.05
09/05/2016;6,02%;6,10%;948.33;934.87;934.46
10/05/2016;6,06%;6,14%;941.98;928.63;928.22
11/05/2016;5,90%;5,98%;969.73;955.96;955.54
12/05/2016;5,97%;6,05%;958.08;944.49;944.08
13/05/2016;5,88%;5,96%;974.45;960.61;959.8
16/05/2016;5,88%;5,96%;974.88;961.04;960.61
17/05/2016;5,87%;5,95%;977.05;963.19;962.76
18/05/2016;5,91%;5,99%;970.52;956.76;956.33
19/05/2016;6,08%;6,16%;941.94;928.61;928.19
20/05/2016;6,00%;6,08%;956.32;942.77;941.94
23/05/2016;6,06%;6,14%;946.78;933.38;932.94
24/05/2016;6,15%;6,23%;932.17;918.99;918.55
25/05/2016;6,13%;6,21%;936.17;922.93;922.26
27/05/2016;6,15%;6,23%;933.73;920.54;919.65
30/05/2016;6,24%;6,32%;919.35;906.37;905.93
31/05/2016;6,19%;6,27%;928;914.9;914.45
01/06/2016;6,25%;6,33%;918.6;905.63;905.19
